review,sentiment
i am a yo mother probably one of the oldest people playing this game i am a single mother to my son who is now my son got this game for christmas in from his uncle so we installed it on his computer and he started playing by the end of the week he had hours on this game this was horrible for me as it was already hard for me to find ways to spend time with my son as he is always out with his friends or just watching youtube so i decided to make a steam account and get this game to see if i could maybe play alongside him i loaded into the game picked my character and world and started playing but i was stuck on what you where supposed to do i asked my son for help and he hosted a game for me to join i loved it as it was the best time i had spent with my son since my husband had died this game has ever since brought me and my son closer again and now we actually spend time together outside the house together as well this game reminded me that theres fun to be had in everything and it has brought both me and my son many happy memories,1
better then pubg,1
cs,1
good old game,1
bad game ever i started the game and than crash half life is stopped,0
my favorite,1
one of the best games ever created period counter strike is a foundation game for most shooter games these days thanks to custom game modes such as superhero warcraft zombie surf others i still come back to it from time to time,1
its fine but all the servers i joined had bots probably wasnt looking hard enough,1
counterstrike source when,1
funni spanish people,1
this is better than csgo,1
old good game,1
better than csgo,1
good,1
first game,1
the game that started it all still fun to this day,1
clar da,1
can i got the hoyaaa,1
i want my money back i dont like the game,0
epic,1
fucking black screen no matter what i do the game functions because i can hear sounds when the cursors moves over the menu on the bottom left corner but screen is black ive tried all the solutions reinstalled my graphics driver and stillnothing works black screen at startup,0
triggerbotdll venezuelan fest uninstalled,0
gud,1
najjaca igrica,1
timeless classic,1
sht game,0
nostalgia hit hard,1
first fps game that i ever played,1
no words for this game its purely nostalgic,1
this game trash,0
bomb has been planted,1
i came back for nostalgia,1
cuack,1
meeh,0
melon,1
rats,1
i like this game play,1
best gaem eva,1
still nostalgic and good memories,1
i was able to play as a halo spartan going against elites on dust with aks very good game,1
pretty good game,1
e nostalgia copilari ce a facut plauzibile absentele din gatlogu scolar,1
classic talk bout some classics,1
launch options for cs noforcemaccel use desktop mouse acceleration settings noforcemspd use desktop mouse speed settings noforcemparms use desktop mouse buttons settings freq or for hz monitors changes refresh rate,1
oyun ok gzel cs baylrm,1
legendary game,1
sick,1
best game ever,1
nostalgic,1
idk,1
jkl,0
if nostalgia could be described as a game this would be it,1
awesome,1
h i feel young again playing this game h,1
love it i hope this game never gets killed and i can hop on it and play in years because i know if thats the case my native country servers will be still running i wish they brought back old skins,1
good old cs,1
it combines the best of team based gaming with an authentic and therefore exciting approach to tactical ops,1
very big addiction,0
play this game since great game of all time one and only counter strike have over a h hehe,1
this game got better hit reg compared to cs,1
good best game ever,1
classic,1
shitty,0
super fun and still has many active servers with all kinds of modes,1
only for ogs,1
veri gud grafiks but still it makes me wan na hang my self,1
this game destroyed my marriage,1
old games is verry nice,1
i paid for this game but never got what i paid for it often glitches and theres no place to get support whether its from steam or from the actual developer people illegaly download this game and have a way better experience than paying customers,0
pro tip dont aim with croshair doesnt work,1
it my favoewtie game,1
sgs go brrrr,1
just dont play it,0
wtf r u crazy i dont know whos gon na buy it max,0
its fun but really hard,1
like old days,1
nostalgia,1
been playing since started with but still playing regularly to this day in there is no other game which comes close changed the way fps games are played it wasnt merely a game it was a revolution m,1
svf mortii care jucati cu awp,0
years old,1
najlepsza gra jaka kiedykolwiek wyszla na swiat dzienny pozdrawiam serdecznie i goraco skyfiree,1
iconic,1
go click head for potato pcs,1
why are you looking at bad reviews buy the game now,0
sus,1
do you like pissing on the corpses of dead terrorists this is the game for you,1
been playing since awesome game,1
za goat,1
good ole classic fps action,1
no,0
great game bring more updates xd,1
oct,1
servers are now full of fake players with malware in the motd valve please fix,0
chief keef forced me to play it,1
ive been playin this game since while i was little sperm so i wanted to say that i edge to this game and also on zoljadin he is black gae,1
scoati tarabanele sa intre bucileeeeeeeeeeeee,1
goat,1
one of the most overrated game ever other mods died while cs didnt die when it should have the lack of changes and improvements to the base game trough years is utterly disgusting and not a proper excuse character slows down when its shot server side location tracking instead of client based for better accurate data years behind other mods that died,0
with the community servers that keep the game going its still a lot of fun to play i recommend it,1
the best game after cs go,1
gzm yal,1
dont,0
yo mamas so ugly she made a blind kid cry,1
cool,1
ratchet,0
good,1
you can simply crack it from any website but still classic,0
old classic,1
yes,1
good nostalgic game better then csgo,1
yeet,1
nice,1
year old boomer with maga pfp rages in voice chat from getting randomly headshotted to death once again when moving at a door this is a shitty old game with shitty mechanics and was later raped into a shitty franchise because of ports competitive is basically people who overanalyze already overanalytic game,0
terrible,0
fess good,1
the graphic are bad do you see it lol,0
i love this game its life changing game i broke only few keyboards few mouses and also monitors,1
thanks for the memories,1
good game all time best,1
dont play this bad game,0
no cheaters unlike counterstrike,1
always win sometimes lose yes yes,1
with this new cs you cant playlag as fckgot an awesome pc but this cs dont mind thatjust keep lagging my internet con its great too but this cs aint giving shtjust keep on lagging,0
old play game best ever,1
very good,1
cs game,1
good,1
childhood game,1
sir a sok eves mert jobb vagyok naluk,1
more pixel more better,1
cs cs,1
the shooter,1
just a old classic good game that will outlive many generations pixelated enviroment which less demanding on brain more relax game,1
cool game,1
best game ever,1
cs forever,1
gg,1
z,1
great game,1
i am a yo father probably one of the oldest people playing this game i am a single farther to my son who is now my son got this game for christmas in from his uncle so we installed it on his computer and he started playing by the end of the week he had hours on this game this was horrible for me as it was already hard for me to find ways to spend time with my son as he is always out with his friends or just watching youtube so i decided to make a steam account and get this game to see if i could maybe play alongside him i loaded into the game picked my character and started playing but i was stuck on what you where supposed to do i asked my son for help and he hosted a game for me to join i loved it as it was the best time i had spent with my son since my wife had died this game has ever since brought me and my son closer again and now we actually spend time together outside the house together as well this game reminded me that theres fun to be had in everything and it has brought both me and my son many happy memories,1
great nostalgic fps,1
meat game,1
i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz i love kz,1
boom headshot,1
geimas,1
please come to brazil,0
wow,1
its a nice game,1
good,1
best fps ever made,1
very good gameyou need to buy it because you will have vip free on serversbest game,1
yaaaaaaaaaaaaaaay,1
was the gateway drug to cs it was simpler times and was also the time you just could chill and relax with som cs,1
legend,1
movemint,1
the legendary game that will remain in the memory of every guy on this planet the very game that turned the world of every schoolboy upside down its pointless to evaluate because this game deserves to be in the top spot for everyone who remembers those childhood times spent in this game to this day thousands of people play it every day,1
og game,1
good,1
classic,1
fucking best game ever the bots are better than of csgo players,1
source movmnt,1
good game i play online server,1
perfect,1
nice game feautred,1
oldschool slightly outdated in my opinion but if you want to experience nostalgia its great,1
sex,1
classic,1
gun go brr then i dead,1
sama salak vurular yemek istiyorsanz karmayn,1
gun,0
best,1
a blyatiful classic,1
cs cs go,1
yettt,1
favorite classic,1
one of the best games ever made,1
nostalgia driven game,1
very good game brings such memmorial moments,1
cant stop playing it,1
game,1
its better than csgo,1
an all time classic,1
counterstrike ok after years of unlimited fun with friends i have finally quit counter strike counter strike in all of its versions its just a great fps game that anyone can enjoy it its a great game and all you just cant stop playing it you can just sit and play with your friends for days with out stoping the huge weaoponary option you can choose and the smooth and sound of the game its just fcking addicting with this games ive met so many different people and unique friends this game is literally gold to all the young players who are looking for a good cheep and fun game to play with their friends i highlly recommend on this ive got with steam record hrs record in counter strike in tottal and who knows how many more hrs in a non official steam version of this game great game gg wp and too all the people who will keep playing this game all i can say as always gl hf,1
pure fun counter strike experience the movement is better than cs whenever im running or moving in cs it feels like something is holding me back timeless classic steamthumbsup,1
too much noobs in this game,0
not cz,1
people still play this game i was forced to buy it due to ex gf she was actually a professional as in got paid counterstrike player,0
nice and legend game,1
cs,1
peak game,1
rff,0
im virgin,1
we counterd the strike,1
this game run like an asthmatic fuck,0
best game,1
old is gold,1
memories,1
this game ran on my potato pc,1
its very good,1
best edit shit,0
old and gold oldtime,1
ah i see you are a man of culture as well,1
this game fucking sucks in all the right ways,1
this is history,1
its a all time classics edit is broken as of by the half life anniversary update,0
the game that started it all,1
cacat pisat,1
no words to describe the beaty of this game,1
before i played this i had a small penis no girlfriend and no will to live none of these things have changed but the game is pretty good,1
c v a d s x g k,0
best cs game better is cs but cs should have stay on this version counter strike is full of cheater and valve dont even care because they are winning too much money with their useless skins hope to see one day counter strike like we have known when steam wasnt here when we played on won servers of half life,1
old but fun,1
me gusto mucho hacer amigos aunque me insultaran diciendo que me hiban a tocar pero que mas da me hice un noscope haci que me da igual,1
this game gives me a lot of good memories this game can also run on my shity ass laptop so that means its good if you want to play a shooter game on youre shity ass laptop this game can probably can run on youre laptop,1
legend,1
i had a lot of trouble with this game whenever i pressed anything other than basic controls it crashed and reset the binding for that key as well as the sensitivity being super high despite me turning it down a lot,0
yep,1
goat,1
best game ever made,1
do i even need to write something,1
nu mai vr,1
it never gets old playing this,1
balalalalala,1
can u add bots with this game im having a hard time tnx,1
yolo,1
ez,1
i recommend,1
juegio de mierda pasra gente de nkmierdda aguante el source,0
oldschool its great,1
originally a mod for half life one of the first tactical online fps,1
da best,0
old school never dies,1
feet stink because they grow from the ass,1
still better than csgo,1
veri good,1
fuck tiger woods poemg,1
fun game,1
this is definitely one of the games ever,1
ovo je jako sranje,1
old classic,1
better than cs,1
supremacy,1
best game ever made,1
good game,1
yes,1
play it but expect crashes here and there when adding mods into the equation,1
old counter strike counter strike,1
i am a second year old father probably one of the oldest peopel playing cs im a single father to a year old son he got this game for beiram from his year old grand grandma i never talked to him much but since he bought the game even less he has hours in the game i wish his year old mother never bought it for sabbat,1
the good old times best counterstrike version in my opinion,1
was great not anymore,1
oct,1
perfection,1
sex,1
good,1
k hours without steam and still think better than bf,1
my whole childhood was here,1
i spent years playing this shthole they ruined this game in k on that last updated the game now has spikes and drop frames like hell literally this game was destroyed for a marketing reason rep to valve tbhroflo over k hours played on several accounts,0
nice game,1
i thought it was really complete but is it not i dont recommend this game and i think it is better the free version of the game better in different terms graphics are acceptable but there is no variety in itself the scenarios are excellent but you always lose very fast and most of the time you see only the cameras of those who killed you and only flashbacks,0
great game,1
love it brings nostalgia when i play this game,1
nice game,1
jocu meu preferat,1
still the best fps to ever exist period,1
ok kt indirmeyin,0
still best game in,1
gut,1
ha ha ha,1
your first love is a girl my first love is cs we are not same bruhh,1
nostalgic i remember playing on westwood when i was years old and sniping people with scout on the rooftop i also remeber playing with my brothers friend on dekabul and talking with him on voicechat since then i frequently comeback to the game and i enjoy it the same way i enjoyed it back then,1
bad graphics for whats wrong with you,0
still the best cs ever,1
trkiye bir numara,1
greatest game ever made,1
love it and have been playing for over years much newer games out there yet i always return to cs thanks as always,1
always hated counterstrike got it as i got half life,0
nostalgic,1
try not to get vac banned for steam clout challenge impossible,1
h i light my cigar h its a hot summer day in florida its always hot i hate dedust and heat of florida she walks into my office directly up to my counter and strikes up a conversation she looks tired shed been running around the community avoiding the mods i take a drag from the cigar it held in my hand by my lifted index finger my thumb leveraging the cigar and my clutched middle finger the mods a vicious group of talented hackers and moderators that have run the community some benefit others dont i exhale this community has been spiraling for a while we used to have a proud population of nearly thousand now a days we are lucky if we can get thousand people in the community most moved away from this cold place to a bright and warm global world i take a second drag what is it i ask she tells me she wants to leave this place she says that even though she loves this place the air flows out of me h theres nothing left here for me h i sigh i tell her i was late here i never saw what this community was like in its heyday i admit theres only two reasons most people stay here nothing but the bare bones of this community is original at this point i shift in my desk she begins to weep i take a drag of my cigar i admit to her the secret htheres only two reasons h i pause and exhale why anyone comes around these parts anymore her eyes light up she says she has to know the poor those who cant afford the global world riddled by capitalisms cruel nature and her breath taken aback with anticipation gary she gasps its always been gary gary is at the heart of this city and all who want to know gary must pass through here i take one last drag and toss the cigar into the ashtray hill save you the boring details h i say as i reveal my suitcase gary is enough for most people theyll stick through the crap in hopes of finding something in themselves with gary its enough for most people but its not enough for me i walk to the door im leaving this town i say and unless youre staying well theres nothing more for me to come back to she pauses then turns to me,0
old school the best,1
very good game one of the best if not the best of all the counter strike games,1
good game with alot of bugs,1
i can understand why this game was a smash hit but seriously doesnt hold up in todays time all the fanboys are the ones who grew up playing it and hence holding onto their sweet childhood memory nothing wrong with that i was introduced to the world of counter strike with csgo seriously doesnt hold up in front of csgo and i am not talking about graphics but multiplayer i am not the one who says a game is bad because of old graphics as i still love playing halflife and gta from time to time heck even original doom,0
no words needed,1
recomand pentru toti jucatorii de counter strike,1
a classic saved my life when i was,1
yo queiro taco bell,0
good game,1
awesome game,1
shit game i cant stop playing,1
simply the best,1
better than cs,1
ami me gusta mucho,1
why the fuck i dont have this game i had before and csgo same you stealers suck my dick steam powered,0
completly oudated,0
legend,1
it was better before when there were not so many hackers now is full of hackers in csgo are like of hackers but in cs there are over hackers poor game now,0
nostalgia,1
saddas,1
i love cs as much as the next guy but you will have more fun with counter strike source or counter strike global offensive why do i say that you may ask this is filled to the brim with hackers nowadays to the point where its basically unplayable i personally like the classic feel of cs but counter strike global offensive is still fun in its own way get css or csgo youll thank me later,0
doob,1
love the game even with all the cheaters its still fun i suck so i dont have any issues with cheaters,1
best game,1
democracy is nonnegotiable,1
nice game with thousands of server variety of game modes,1
disfruto mucho al jugar este juego me recuerda a buenos momentos de cuando era mucho mas joven,1
najjaka,1
jogasso,1
such a beautiful game ever,1
oct,1
its nice to see you again old friend,1
fire,1
no need for words,1
here i will leave the cat friends who pass by can pet it and give it a thumbs up l x,1
dor stuck door stuck please i beg you,1
qt,1
a ta dobre,1
jalkarska igra,0
mais pica ainda,1
old fashion,1
i am tryhard,1
hello gays this game be good is tis time is classic game i do not love this is game,0
i dont need to recommend this game to anyone because every real gamer knows about this legendary game every s gamer started their journey with this game this game is still alive and i really love playing this game im still addicted to this game,1
y,1
goood game,1
my favourite rd person shooter,1
amazing graphics and gameplay,1
just try,1
good old memories,1
noice,1
unfortunately the publisher destroyed the original game on purpose to finally be able to be successful with a sequel the terrible csgo i dont like csgo and now cs on steam is unplayable,0
still going at it after hrs on steam and around hrs on nonsteam counterstrike back in the day,1
yes,1
the legacy of counter strike of all,1
hackkk,0
my parents strike me but i cant counter,1
old but gold,1
its cool,1
maksim pidor,0
best game ever,1
sok az inas,1
still playing,1
w game,1
its just a cs game what did you expect,1
its a copy of that one game cs dont plays unlees wants to ghet infected with stupid because counntre struik is better on mealman scale,0
csno,0
best game ever,1
csog,1
cs here into game since counter strike so happy that this game continued its legacy,1
govno ebanoe potratil stolko vremeni na etu huetu,0
just people fighting i like,1
the game is outdated and i dont think anyone plays it its better to get the newer ones,0
best,1
still some public servers going on and game feels so smooth adding steam networking is very good you dont have to create your own server to play with your friends thanks valve for this legendary game,1
i still do love this game,1
the cs,1
good,1
love it,1
jees,1
i had put around hours into cs source because csgo is ass so i purchased this to see if it was just as good as source newsflash its not im not all that good at video games in general and im just no match for people who have been playing the game for years and no theres no bots i might change my mind later on but for now i dont recommend this game,0
an absolute masterpiece of its time i want those modders back who are responsible of its existence,1
worlds best game this game is actualy fun and can run on a potato though its sad theres no default bots support and no beta accesing with bots but the movement is amazing and dosent change your blue light filter,1
the game is old too many pros for anyone new or even those who havent played for a long time,0
great,1
headshot,1
counter strike,1
og,1
very toxic community,0
best game ever since,1
better than cs ngl,1
yes,1
foarte tare plin de hackeri recomand cu caldura,1
i love counter strike but still i suck deaths a match,1
yez,1
not working,0
the goat,1
roots of the addict,1
top,1
door stuck,1
cool,1
before i played this i had a small penis no girlfriend and no will to live none of these things have changed but the game is pretty good,1
cant describe in words how good this masterpiece was and will forever be,1
old my ass and no beta model lol suck penis pls,0
lets go,1
good,1
counterstrike is one of the games of all times,1
the beste game ever,1
best,1
da best game in da world,1
there is only community servers no official servers i connected to a server and it downloaded a dll file thankfully i am on linux and dll files dont work here,0
legend,1
actually good gaming,1
gud,1
this is the original cs experience fun and communityoriented i still believe this game is playable even in given the ongoing mods that come out the number of servers is not that great but nonetheless you can find players and if not you could always download bots and custom maps and have fun did i mention lan,1
unlock the frame rate through console commands and youre good,1
cel mai naspa joc,0
nice old school game,1
suxk,0
classic and fun love this game,1
good game,1
old but stilul good,1
gg,1
the game,1
this is best game evah,1
i play for fun but sometimes i m getting really in to it enjoy,1
zmilcsilenthill was the best map,1
will never forget assigning my controls for the st time on dust while trying to figure out where to go,1
nostalgic,1
awesome,1
this game will always and forever have a special place in my heart,1
best game ever,1
better than cs honestly,1
ive only played this game for ten minutes and yet it still lets me write a review of it for some reason,1
the one and only classic shit,1
best game ever still miss playing this daily,1
nice games what i play for kid,1
tnx valve vac ban for not cheating,0
better then cs,1
conta strik,1
quit cs for this beautiful lovely amazing game,1
w,0
maybe i am getting old now,1
cs source is better,0
me go surf,0
toxic players,0
vac incorectly fucking,0
best game,1
ggggggggggggggggggggggggggggggggggggggggggggoooooooooooooooooooooooooooooooooooooooooooooooooooodddddddddddddddddddddddddddddddddddddddddddddddd,1
great game better than cs,1
counterstrike better then counterstrike,1
greatest nostalgia all the time,1
fbdrhrbdd,1
nd best halflife modification after ricochet,1
when you play counter strike the terrorists win,0
terrible game,0
not as good as garfield kart,1
best game bruvv,1
ehh its not bad at all played a few hours with it the reason why im not recommending this game is actually because ive been receiving or am being kicked for reason fake client etc blah blah blah dont have any ways to resolve this issue and i might make a yes recommendation once i get it fixed one more thing when i mean i dont recommend this i mean you can buy this game and its up to you cuz i probs played this game since aged or sumthin but play it on yer own risk,0
played for a couple hours great graphics,1
they removed bots,0
good one,1
estoy enamorado de beibe,1
cs is love,1
legend forever,1
molto bene,1
good game bro i love when i play jb and i have k fps,1
idk what i can say in about this except still rocks,1
i like it,1
nice,1
why wouldnt you play this game its pure nostalgia,1
best fps never dies,1
nostalgia king,1
